category,items_in_reviewed_orders,avg_review_score,low_review_rate_pct
office_furniture,1664,3.52,25.42
fashion_male_clothing,124,3.76,25.00
fixed_telephony,253,3.76,22.92
audio,359,3.83,21.73
home_confort,430,3.85,19.77
"",1533,3.94,19.44
bed_bath_table,10985,3.92,18.31
furniture_decor,8159,3.95,18.19
construction_tools_safety,182,3.97,17.58
home_construction,593,3.96,17.37
furniture_living_room,494,3.94,17.21
computers_accessories,7672,3.98,17.10
fashion_underwear_beach,126,4.05,15.87
telephony,4407,3.99,15.52
air_conditioning,284,4.05,15.49
