seller_id,delivered_orders,avg_review_score,low_review_rate_pct,late_delivery_rate_pct
1ca7077d890b907f89be8c954a02686a,107,2.27,63.49,19.05
2eb70248d66e0e3ef83659f71b244378,184,2.81,47.69,13.85
95f83f51203c626648c875dd41874c7f,50,3.22,44.62,4.62
bbad7e518d7af88a0897397ffdca1979,67,3.05,44.58,22.89
972d0f9cf61b499a4812cf0bfa3ad3c4,79,2.96,44.05,11.90
8e6d7754bc7e0f22c96d255ebda59eba,84,3.03,43.94,12.88
a49928bcdf77c55c6d6e05e09a9b4ca5,96,2.97,43.27,25.00
54965bbe3e4f07ae045b90b0b8541f52,69,3.07,42.11,31.58
8444e55c1f13cd5c179851e5ca5ebd00,92,3.16,38.24,10.78
5058e8c1e82653974541e83690655b4a,61,3.08,37.33,13.33
2a261b5b644fa05f4f2700eb93544f2c,51,3.34,36.14,22.89
b2479f944e1b90cf8a5de1bbfde284d6,100,3.32,34.35,14.50
6fd52c528dcb38be2eea044946b811f8,66,3.50,34.15,10.98
712e6ed8aa4aa1fa65dab41fed5737e4,76,3.47,34.12,20.00
88460e8ebdecbfecb5f9601833981930,245,3.37,31.82,18.83
710e3548e02bc1d2831dfc4f1b5b14d4,130,3.46,30.15,3.68
897060da8b9a21f655304d50fd935913,301,3.47,29.30,11.14
7c67e1448b00f6e969d365cea6b010ab,967,3.35,29.23,9.50
18a349e75d307f4b4cc646a691ed4216,108,3.52,29.13,5.51
f46490624488d3ff7ce78613913a7711,80,3.57,28.74,11.49
